Date,App_Name,Category,Minutes_Used
2026-07-18,TikTok,Social Media,52
2026-07-18,Instagram,Social Media,34
2026-07-18,X,Social Media,109
2026-07-18,Coursera,Education,35
2026-07-18,Khan Academy,Education,8
2026-07-18,YouTube,Entertainment,78
2026-07-18,Netflix,Entertainment,44
2026-07-18,VS Code,Coding,28
2026-07-18,Terminal,Coding,112
2026-07-18,GitHub,Coding,34
2026-07-18,Notion,Productivity,18
2026-07-18,Google Calendar,Productivity,18
2026-07-19,TikTok,Social Media,130
2026-07-19,Instagram,Social Media,52
2026-07-19,X,Social Media,133
2026-07-19,Coursera,Education,25
2026-07-19,Khan Academy,Education,37
2026-07-19,YouTube,Entertainment,80
2026-07-19,Netflix,Entertainment,74
2026-07-19,VS Code,Coding,77
2026-07-19,Terminal,Coding,51
2026-07-19,GitHub,Coding,20
2026-07-19,Notion,Productivity,17
2026-07-19,Google Calendar,Productivity,10
2026-07-20,TikTok,Social Media,70
2026-07-20,Instagram,Social Media,66
2026-07-20,X,Social Media,105
2026-07-20,Coursera,Education,37
2026-07-20,Khan Academy,Education,40
2026-07-20,YouTube,Entertainment,17
2026-07-20,Netflix,Entertainment,82
2026-07-20,VS Code,Coding,88
2026-07-20,Terminal,Coding,39
2026-07-20,GitHub,Coding,65
2026-07-20,Notion,Productivity,38
2026-07-20,Google Calendar,Productivity,42
2026-07-21,TikTok,Social Media,99
2026-07-21,Instagram,Social Media,32
2026-07-21,X,Social Media,140
2026-07-21,Coursera,Education,8
2026-07-21,Khan Academy,Education,19
2026-07-21,YouTube,Entertainment,23
2026-07-21,Netflix,Entertainment,87
2026-07-21,VS Code,Coding,86
2026-07-21,Terminal,Coding,32
2026-07-21,GitHub,Coding,43
2026-07-21,Notion,Productivity,7
2026-07-21,Google Calendar,Productivity,35
2026-07-22,TikTok,Social Media,120
2026-07-22,Instagram,Social Media,139
2026-07-22,X,Social Media,30
2026-07-22,Coursera,Education,42
2026-07-22,Khan Academy,Education,38
2026-07-22,YouTube,Entertainment,23
2026-07-22,Netflix,Entertainment,45
2026-07-22,VS Code,Coding,24
2026-07-22,Terminal,Coding,52
2026-07-22,GitHub,Coding,96
2026-07-22,Notion,Productivity,17
2026-07-22,Google Calendar,Productivity,36
2026-07-23,TikTok,Social Media,30
2026-07-23,Instagram,Social Media,97
2026-07-23,X,Social Media,119
2026-07-23,Coursera,Education,3
2026-07-23,Khan Academy,Education,18
2026-07-23,YouTube,Entertainment,61
2026-07-23,Netflix,Entertainment,72
2026-07-23,VS Code,Coding,30
2026-07-23,Terminal,Coding,107
2026-07-23,GitHub,Coding,63
2026-07-23,Notion,Productivity,38
2026-07-23,Google Calendar,Productivity,45
2026-07-24,TikTok,Social Media,109
2026-07-24,Instagram,Social Media,146
2026-07-24,X,Social Media,35
2026-07-24,Coursera,Education,36
2026-07-24,Khan Academy,Education,34
2026-07-24,YouTube,Entertainment,38
2026-07-24,Netflix,Entertainment,50
2026-07-24,VS Code,Coding,100
2026-07-24,Terminal,Coding,50
2026-07-24,GitHub,Coding,81
2026-07-24,Notion,Productivity,33
2026-07-24,Google Calendar,Productivity,26
2026-07-25,TikTok,Social Media,35
2026-07-25,Instagram,Social Media,133
2026-07-25,X,Social Media,67
2026-07-25,Coursera,Education,1
2026-07-25,Khan Academy,Education,39
2026-07-25,YouTube,Entertainment,51
2026-07-25,Netflix,Entertainment,18
2026-07-25,VS Code,Coding,33
2026-07-25,Terminal,Coding,61
2026-07-25,GitHub,Coding,107
2026-07-25,Notion,Productivity,40
2026-07-25,Google Calendar,Productivity,38
2026-07-26,TikTok,Social Media,94
2026-07-26,Instagram,Social Media,95
2026-07-26,X,Social Media,70
2026-07-26,Coursera,Education,34
2026-07-26,Khan Academy,Education,32
2026-07-26,YouTube,Entertainment,22
2026-07-26,Netflix,Entertainment,19
2026-07-26,VS Code,Coding,40
2026-07-26,Terminal,Coding,59
2026-07-26,GitHub,Coding,50
2026-07-26,Notion,Productivity,37
2026-07-26,Google Calendar,Productivity,10
2026-07-27,TikTok,Social Media,37
2026-07-27,Instagram,Social Media,112
2026-07-27,X,Social Media,137
2026-07-27,Coursera,Education,5
2026-07-27,Khan Academy,Education,37
2026-07-27,YouTube,Entertainment,21
2026-07-27,Netflix,Entertainment,89
2026-07-27,VS Code,Coding,49
2026-07-27,Terminal,Coding,72
2026-07-27,GitHub,Coding,27
2026-07-27,Notion,Productivity,16
2026-07-27,Google Calendar,Productivity,21
2026-07-28,TikTok,Social Media,133
2026-07-28,Instagram,Social Media,88
2026-07-28,X,Social Media,116
2026-07-28,Coursera,Education,34
2026-07-28,Khan Academy,Education,5
2026-07-28,YouTube,Entertainment,12
2026-07-28,Netflix,Entertainment,44
2026-07-28,VS Code,Coding,25
2026-07-28,Terminal,Coding,22
2026-07-28,GitHub,Coding,45
2026-07-28,Notion,Productivity,36
